Round,Thrown: Haney,Thrown: Loma,Landed: Haney,Landed: Loma,Jabs Thrown: Haney,Jabs Thrown: Loma,Jabs Landed: Haney,Jabs Landed: Loma,Power Punches Thrown: Haney,Power Punches Thrown: Loma,Power Punches Landed: Haney,Power Punches Landed: Loma
1,32,26,6,6,21,12,1,2,11,14,5,4
2,39,49,10,9,20,23,2,0,19,26,8,9
3,35,50,9,11,18,18,3,1,17,32,6,10
4,35,43,11,6,20,20,2,2,15,23,9,4
5,41,55,13,12,17,24,3,3,24,31,10,9
6,27,42,12,7,10,15,2,2,17,27,10,5
7,33,50,9,11,14,21,1,2,19,29,8,9
8,34,47,9,9,19,25,1,3,15,22,8,6
9,39,48,13,9,17,21,2,2,22,27,11,7
10,25,49,5,11,11,25,0,3,14,24,5,8
11,28,50,2,20,12,24,1,8,16,26,1,12
12,37,55,11,13,9,22,2,1,28,33,9,12
